filename,label,label_code
v_ApplyEyeMakeup_g01_c01,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g01_c03,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g01_c04,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g01_c05,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g01_c06,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g02_c01,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g02_c02,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g02_c03,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g02_c04,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g03_c01,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g03_c02,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g03_c03,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g03_c04,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g03_c05,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g03_c06,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g04_c01,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g04_c02,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g04_c03,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g04_c04,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g04_c06,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g04_c07,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g05_c01,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g05_c02,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g05_c03,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g05_c04,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g05_c05,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g05_c06,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g05_c07,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g06_c01,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g06_c02,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g06_c03,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g06_c04,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g06_c05,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g06_c06,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g06_c07,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g07_c02,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g07_c03,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g07_c04,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g07_c05,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g07_c06,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g07_c07,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g08_c01,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g08_c02,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g08_c03,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g08_c04,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g08_c05,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g09_c01,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g09_c02,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g09_c03,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g09_c05,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g09_c06,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g09_c07,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g10_c01,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g10_c02,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g10_c03,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g10_c04,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g10_c05,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g11_c01,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g11_c02,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g11_c03,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g11_c04,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g11_c05,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g12_c01,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g12_c02,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g12_c03,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g12_c04,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g12_c05,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g12_c06,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g13_c01,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g13_c02,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g13_c04,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g13_c05,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g13_c06,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g14_c01,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g14_c02,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g14_c03,ApplyEyeMakeup,0
v_ApplyEyeMakeup_g14_c04,ApplyEyeMakeup,0
